frame,timestamp_s,inference_ms,fps,m1_candidates,m2_rejections,final_detections,rejected,avg_confidence
1,0.564,530.48,1.89,0,0,0,0,0.0
2,0.905,172.55,2.84,0,0,0,0,0.0
3,1.113,146.9,3.53,0,0,0,0,0.0
4,1.318,151.78,3.99,0,0,0,0,0.0
5,1.514,147.67,4.35,0,0,0,0,0.0
6,1.718,152.15,4.61,0,0,0,0,0.0
7,1.914,147.55,4.83,0,0,0,0,0.0
8,2.118,150.97,5.0,0,0,0,0,0.0
9,2.314,147.54,5.15,0,0,0,0,0.0
10,2.518,150.99,5.27,0,0,0,0,0.0
11,2.715,148.46,5.37,0,0,0,0,0.0
12,2.918,150.77,5.46,0,0,0,0,0.0
13,3.114,146.64,5.55,0,0,0,0,0.0
14,3.318,150.14,5.61,0,0,0,0,0.0
15,3.515,147.24,5.68,0,0,0,0,0.0
16,3.731,163.39,5.7,1,0,0,1,0.0
17,3.953,151.49,5.75,1,0,1,0,0.9958
18,4.153,150.96,5.79,2,0,2,0,0.9567
19,4.348,146.83,5.84,2,0,2,0,0.9797
20,4.555,152.86,5.87,2,0,1,1,0.9962
21,4.749,147.35,5.91,2,0,1,1,0.9956
22,4.951,148.75,5.94,4,0,1,3,0.938
23,5.147,144.89,5.98,4,0,0,4,0.0
24,5.352,149.66,6.0,4,0,0,4,0.0
25,5.549,146.45,6.03,4,0,0,4,0.0
26,5.754,151.67,6.05,4,0,0,4,0.0
27,5.949,146.49,6.08,4,0,0,4,0.0
28,6.153,150.38,6.1,4,0,0,4,0.0
29,6.349,146.29,6.12,4,0,0,4,0.0
30,6.551,147.75,6.14,4,0,1,3,0.9186
31,6.751,147.58,6.66,3,0,1,2,0.9278
32,6.955,151.54,6.69,4,0,0,4,0.0
33,7.151,147.19,6.69,3,0,0,3,0.0
34,7.354,150.28,6.69,3,0,0,3,0.0
35,7.551,147.27,6.69,3,0,0,3,0.0
36,7.757,152.44,6.69,4,0,1,3,0.8103
37,7.954,149.77,6.69,2,0,0,2,0.0
38,8.154,149.49,6.69,3,0,1,2,0.7884
39,8.349,144.92,6.7,3,0,1,2,0.7267
40,8.557,152.05,6.69,3,0,0,3,0.0
41,8.753,148.77,6.69,2,0,0,2,0.0
42,8.956,150.81,6.69,2,0,0,2,0.0
43,9.152,147.55,6.69,2,0,0,2,0.0
44,9.356,150.87,6.69,2,0,0,2,0.0
45,9.551,145.6,6.69,2,0,0,2,0.0
