frame,timestamp_s,inference_ms,fps,m1_candidates,m2_rejections,final_detections,rejected,avg_confidence
1,0.544,510.99,1.96,0,0,0,0,0.0
2,0.857,156.11,3.0,0,0,0,0,0.0
3,1.048,147.69,3.68,0,0,0,0,0.0
4,1.251,150.32,4.14,0,0,0,0,0.0
5,1.447,146.44,4.5,0,0,0,0,0.0
6,1.667,165.67,4.7,0,0,0,0,0.0
7,1.883,148.04,4.91,0,0,0,0,0.0
8,2.088,153.41,5.07,0,0,0,0,0.0
9,2.286,150.84,5.2,0,0,0,0,0.0
10,2.482,146.95,5.33,0,0,0,0,0.0
11,2.691,155.79,5.41,0,0,0,0,0.0
12,2.887,151.4,5.5,0,0,0,0,0.0
13,3.098,162.38,5.54,2,0,0,2,0.0
14,3.314,145.26,5.62,1,0,1,0,0.9776
15,3.52,150.78,5.68,1,0,0,1,0.0
16,3.726,156.44,5.72,2,0,0,2,0.0
17,3.918,148.42,5.77,2,0,0,2,0.0
18,4.114,144.84,5.82,1,0,0,1,0.0
19,4.319,148.88,5.86,2,0,0,2,0.0
20,4.519,149.35,5.9,1,0,0,1,0.0
21,4.723,153.34,5.93,1,0,0,1,0.0
22,4.916,145.4,5.96,2,0,1,1,0.9832
23,5.121,151.0,5.99,2,0,0,2,0.0
24,5.319,148.73,6.02,3,0,1,2,0.8612
25,5.52,149.78,6.04,2,0,1,1,0.9883
26,5.718,147.62,6.07,2,0,1,1,0.9914
27,5.922,151.53,6.08,2,0,1,1,0.9901
28,6.118,147.4,6.11,2,0,0,2,0.0
29,6.322,151.27,6.12,2,0,1,1,0.9942
30,6.52,148.27,6.14,2,0,1,1,0.9918
31,6.724,152.41,6.63,2,0,1,1,0.9922
32,6.929,157.79,6.63,2,0,1,1,0.9915
33,7.12,148.57,6.62,2,0,1,1,0.9919
34,7.316,143.87,6.63,2,0,1,1,0.9933
35,7.523,150.67,6.63,2,0,1,1,0.9927
36,7.718,146.2,6.66,2,0,1,1,0.9915
37,7.926,153.5,6.65,2,0,1,1,0.9812
38,8.121,148.89,6.66,1,0,0,1,0.0
39,8.321,148.57,6.66,2,0,0,2,0.0
40,8.519,146.66,6.66,1,0,0,1,0.0
41,8.724,151.02,6.67,2,0,0,2,0.0
42,8.927,153.83,6.66,0,0,0,0,0.0
43,9.123,150.06,6.68,1,0,1,0,0.8233
44,9.319,145.99,6.68,1,0,0,1,0.0
45,9.521,147.73,6.68,1,0,0,1,0.0
