frame,timestamp_s,inference_ms,fps,m1_candidates,m2_rejections,final_detections,rejected,avg_confidence
1,0.513,509.47,1.96,1,0,0,1,0.0
2,0.662,147.12,3.05,1,0,1,0,0.9972
3,0.811,147.83,3.73,1,0,1,0,0.9955
4,0.966,152.33,4.18,1,0,1,0,0.9968
5,1.111,144.0,4.54,1,0,1,0,0.9882
6,1.26,146.81,4.81,1,0,0,1,0.0
7,1.405,143.55,5.03,1,0,1,0,0.9978
8,1.552,145.61,5.21,1,0,0,1,0.0
9,1.696,142.62,5.36,1,0,0,1,0.0
10,1.846,148.29,5.47,1,0,0,1,0.0
11,1.992,144.51,5.58,1,0,1,0,0.9951
12,2.137,144.07,5.67,1,0,0,1,0.0
13,2.282,143.59,5.75,2,0,1,1,0.9976
14,2.429,145.83,5.82,1,0,0,1,0.0
15,2.574,143.36,5.88,1,0,1,0,0.9899
16,2.722,146.29,5.94,1,0,1,0,0.9912
17,2.868,145.15,5.99,1,0,0,1,0.0
18,3.038,167.66,5.98,1,0,0,1,0.0
19,3.189,149.63,6.02,1,0,0,1,0.0
20,3.336,145.98,6.05,2,0,0,2,0.0
21,3.482,144.73,6.09,1,0,0,1,0.0
22,3.635,150.91,6.11,1,0,1,0,0.9963
23,3.778,142.0,6.15,1,0,0,1,0.0
24,3.926,146.02,6.17,1,0,1,0,0.9991
25,4.077,149.19,6.19,2,0,0,2,0.0
26,4.223,144.79,6.22,1,0,0,1,0.0
27,4.367,142.63,6.24,1,0,0,1,0.0
28,4.514,146.02,6.26,1,0,0,1,0.0
29,4.661,144.94,6.28,1,0,0,1,0.0
30,4.811,148.5,6.3,1,0,1,0,0.9986
31,4.955,141.97,6.82,1,0,0,1,0.0
32,5.106,150.24,6.82,1,0,0,1,0.0
33,5.249,141.48,6.83,1,0,0,1,0.0
34,5.397,146.66,6.84,1,0,1,0,0.9954
35,5.541,142.61,6.84,1,0,0,1,0.0
36,5.687,144.6,6.84,1,0,0,1,0.0
37,5.83,142.04,6.85,1,0,0,1,0.0
38,5.979,147.33,6.84,1,0,0,1,0.0
39,6.129,147.94,6.84,1,0,0,1,0.0
40,6.279,148.85,6.83,1,0,0,1,0.0
41,6.423,142.18,6.84,1,0,0,1,0.0
42,6.571,147.59,6.83,1,0,1,0,0.993
43,6.716,142.66,6.83,1,0,1,0,0.9983
44,6.863,145.97,6.83,2,0,0,2,0.0
45,7.007,142.92,6.83,2,0,1,1,0.9947
46,7.161,151.7,6.83,1,0,1,0,0.9982
47,7.318,155.74,6.81,1,0,0,1,0.0
48,7.472,151.67,6.83,1,0,0,1,0.0
49,7.617,144.02,6.84,1,0,1,0,0.9987
50,7.774,155.04,6.83,2,0,0,2,0.0
51,7.92,144.28,6.83,1,0,0,1,0.0
52,8.072,150.87,6.83,1,0,1,0,0.9976
53,8.227,154.07,6.81,1,0,0,1,0.0
54,8.371,142.53,6.82,1,0,1,0,0.9992
55,8.522,148.83,6.82,1,0,0,1,0.0
56,8.666,143.07,6.82,1,0,0,1,0.0
57,8.809,141.24,6.82,1,0,0,1,0.0
58,8.953,143.12,6.83,1,0,0,1,0.0
59,9.098,143.3,6.83,1,0,1,0,0.9982
60,9.254,154.7,6.82,1,0,0,1,0.0
61,9.398,142.8,6.82,1,0,1,0,0.999
62,9.542,142.42,6.83,1,0,1,0,0.9988
63,9.685,141.62,6.83,1,0,1,0,0.9988
64,9.828,142.0,6.84,1,0,1,0,0.9989
